name A B C D E F
0 0.200 0.499 0.449 -0.040 0.165 -0.021
1 0.195 0.487 0.438 -0.066 0.166 -0.034
2 0.167 0.471 0.424 -0.012 0.194 -0.006
3 0.172 0.470 0.423 -0.027 0.186 -0.014
4 0.123 0.466 0.419 -0.066 0.166 -0.034
5 0.199 0.493 0.444 -0.013 0.193 -0.007
6 0.148 0.470 0.423 -0.012 0.194 -0.006
7 0.200 0.486 0.438 -0.014 0.193 -0.007
8 0.194 0.494 0.445 -0.072 0.158 -0.037
9 0.200 0.508 0.457 0.006 0.117 0.003
10 0.174 0.507 0.456 0.019 0.117 0.010
11 0.143 0.475 0.428 -0.025 0.178 -0.013
12 0.135 0.467 0.420 -0.020 0.140 -0.010
13 0.189 0.483 0.435 -0.001 0.167 -0.001
14 0.142 0.490 0.441 0.010 0.135 0.005
15 0.191 0.486 0.437 -0.005 0.177 -0.003
16 0.157 0.480 0.432 -0.023 0.188 -0.012
17 0.191 0.479 0.431 -0.027 0.179 -0.014
18 0.109 0.464 0.418 -0.016 0.158 -0.008
19 0.157 0.507 0.456 -0.016 0.093 -0.008
20 0.196 0.489 0.440 0.003 0.156 0.002
21 0.179 0.498 0.448 -0.038 0.114 -0.020
22 0.180 0.474 0.426 -0.042 0.178 -0.022
23 0.200 0.510 0.459 0.016 0.131 0.008
24 0.173 0.496 0.446 0.006 0.131 0.003
25 0.146 0.461 0.415 -0.008 0.172 -0.004
26 0.200 0.494 0.445 -0.059 0.170 -0.030
27 0.176 0.501 0.450 0.013 0.108 0.007
28 0.200 0.491 0.442 -0.019 0.178 -0.010
29 0.137 0.464 0.417 -0.006 0.166 -0.003
30 0.147 0.467 0.420 -0.021 0.173 -0.011
31 0.108 0.470 0.423 0.007 0.127 0.004
32 0.168 0.478 0.430 -0.070 0.164 -0.036
33 0.157 0.490 0.441 -0.037 0.153 -0.019
34 0.119 0.471 0.424 0.003 0.142 0.001
35 0.185 0.473 0.425 -0.029 0.185 -0.015
36 0.146 0.492 0.443 -0.010 0.115 -0.005
37 0.110 0.449 0.404 -0.059 0.169 -0.031
38 0.200 0.499 0.449 -0.030 0.133 -0.015
39 0.153 0.482 0.434 -0.022 0.116 -0.012
40 0.200 0.503 0.453 0.013 0.135 0.007
41 0.608 0.101 0.091 0.304 0.771 0.158
42 0.618 0.108 0.097 0.255 0.827 0.133
43 0.600 0.111 0.100 0.293 0.782 0.152
44 0.617 0.115 0.103 0.301 0.807 0.157
45 0.600 0.107 0.097 0.276 0.800 0.143
46 0.629 0.118 0.106 0.301 0.756 0.156
47 0.646 0.137 0.123 0.308 0.760 0.160
48 0.600 0.110 0.099 0.270 0.779 0.140
49 0.624 0.122 0.110 0.339 0.779 0.176
50 0.643 0.116 0.105 0.301 0.775 0.156
51 0.670 0.131 0.118 0.303 0.758 0.158
52 0.610 0.124 0.112 0.292 0.754 0.152
53 0.618 0.127 0.114 0.283 0.747 0.147
54 0.677 0.142 0.128 0.278 0.778 0.144
55 0.669 0.146 0.131 0.279 0.776 0.145
56 0.697 0.154 0.139 0.335 0.775 0.174
57 0.600 0.120 0.108 0.274 0.772 0.142
58 0.600 0.117 0.105 0.275 0.767 0.143
59 0.688 0.129 0.116 0.305 0.797 0.158
60 0.622 0.106 0.095 0.324 0.820 0.169
61 0.600 0.103 0.092 0.283 0.796 0.147
62 0.602 0.113 0.101 0.280 0.745 0.145
63 0.666 0.142 0.128 0.286 0.764 0.149
64 0.629 0.125 0.113 0.347 0.780 0.180
65 0.659 0.129 0.116 0.283 0.747 0.147
66 0.631 0.125 0.112 0.276 0.769 0.143
67 0.600 0.090 0.081 0.300 0.797 0.156
68 0.661 0.131 0.118 0.304 0.758 0.158
69 0.677 0.132 0.119 0.272 0.790 0.141
70 0.649 0.124 0.112 0.278 0.762 0.144
71 0.600 0.117 0.105 0.281 0.746 0.146
72 0.683 0.128 0.115 0.289 0.849 0.150
73 0.600 0.113 0.101 0.292 0.752 0.152
74 0.699 0.155 0.140 0.296 0.783 0.154
75 0.656 0.108 0.097 0.317 0.813 0.164
76 0.685 0.145 0.131 0.287 0.749 0.149
77 0.600 0.106 0.096 0.322 0.819 0.167
78 0.644 0.112 0.101 0.281 0.816 0.146
79 0.663 0.125 0.112 0.277 0.795 0.144
80 0.644 0.119 0.107 0.326 0.799 0.169
