name A B C D E F
attr_01 -1.5 -0.10840876327753157 -0.09756808087353896 -0.13449900519037228 0.10615181408259527 -0.0698909430583389
attr_02 -1.5 -0.1660017443004984 -0.1494017810126236 -0.15104852803188576 0.11287256917471597 -0.07849004202795076
attr_03 -1.5 -0.1407731584667513 -0.1266962979084332 -0.18716674426546645 0.10274240038796788 -0.09725759961203208
attr_04 -1.5 -0.15252200771652846 -0.13727006321860685 -0.14091633119069075 0.06405396204142072 -0.07322505909053476
attr_05 -1.5 -0.1623722840318691 -0.14613526390092343 -0.1523720769240311 0.12082217050799594 -0.07917782949200401
attr_06 -1.5 -0.147531062213075 -0.1327781944306992 -0.1398703317670086 0.07391011066933681 -0.0726816145553916
attr_07 -9.0 -3.5467449902642803 -3.192072303306754 -0.5526795623857899 0.39638903325840186 -0.2871782350965923
attr_08 -9.0 -3.52971525384498 -3.176745404002476 -0.5289221717531389 0.32765882212411085 -0.27483374626522855
attr_09 -9.0 -3.5140355121828937 -3.162633683045003 -0.5047290530978572 0.3377373830227503 -0.26226261697724956
attr_10 -9.0 -3.4983118416855863 -3.1484823707391585 -0.5237453384490014 0.3376055376819976 -0.2721437100684923
