name A B C D E F
attr_01 -1.5 -0.0846296161260548 -0.07616689167621035 -0.11986159098368496 0.05065069479561068 -0.062285009730691974
attr_02 -1.5 -0.14462408152689554 -0.13016194591671285 -0.15939224957264742 0.11717433182717726 -0.08282566817282269
attr_03 -1.5 -0.16404838765447272 -0.14764394127337296 -0.1812854726874839 0.10579848076463849 -0.09420151923536146
attr_04 -1.5 -0.16257081247258132 -0.14631400352756424 -0.15748435143769574 0.10044707606448018 -0.0818341358440824
attr_05 -1.5 -0.15321690601846827 -0.13789574828400805 -0.19205752801195064 0.06657101713026006 -0.0997986839581057
attr_06 -1.5 -0.16695060986429255 -0.15025580806540573 -0.16105764825646793 0.11630908020260508 -0.08369091979739487
attr_07 -9.0 -3.5428749636201737 -3.188589236758377 -0.5457400132508903 0.37531896069312104 -0.2835724067769719
attr_08 -9.0 -3.4614462216411725 -3.115303343533551 -0.5026921153844479 0.33879589711893743 -0.26120410288106244
attr_09 -9.0 -3.523883133580405 -3.1714966341324478 -0.4816463885333705 0.3714116351094818 -0.25026846899135974
attr_10 -9.0 -3.5291336549965453 -3.1762219608863607 -0.528178900251308 0.3255524624716907 -0.2744475375283092
