 0 1 2 3
attr_01 1 -1 0 1
attr_02 0 -1 1 0
attr_03 0 1 1 0
attr_04 0 0 1 0
attr_05 -1 -1 1 0
attr_06 0 0 1 1
attr_07 -1 1 1 -1
attr_08 1 0 1 0
attr_09 0 -1 0 -1
attr_10 1 0 -1 -1
attr_11 0 1 -1 -1
attr_12 -1 0 0 1
attr_13 -1 0 -1 0
attr_14 0 1 0 0
attr_15 -1 1 -1 -1
attr_16 0 0 0 0
attr_17 -1 0 1 -1
attr_18 0 0 0 1
attr_19 -1 0 0 -1
attr_20 -1 -1 -1 1
attr_21 0 1 -1 1
attr_22 0 -1 -1 1
attr_23 0 -1 1 1
attr_24 1 1 -1 1
attr_25 0 0 -1 0
attr_26 -1 1 0 1
attr_27 1 -1 1 0
attr_28 0 0 -1 1
attr_29 1 0 0 0
attr_30 -1 1 0 -1
attr_31 -1 0 0 0
attr_32 -1 1 -1 1
attr_33 0 -1 0 1
attr_34 -1 -1 0 0
attr_35 -1 1 -1 0
attr_36 0 0 1 -1
attr_37 -1 0 -1 1
attr_38 -1 -1 1 -1
attr_39 1 -1 -1 1
attr_40 -1 -1 -1 0
attr_41 1 1 -1 0
attr_42 0 1 0 -1
attr_43 0 -1 1 -1
attr_44 -1 1 0 0
attr_45 0 1 1 1
attr_46 -1 0 1 0
attr_47 0 0 -1 -1
attr_48 1 1 -1 -1
attr_49 -1 -1 1 1
attr_50 0 1 0 1
attr_51 1 1 0 0
attr_52 1 0 -1 1
attr_53 0 0 0 -1
attr_54 0 -1 -1 -1
attr_55 1 -1 1 -1
attr_56 1 -1 0 -1
attr_57 1 1 0 1
attr_58 -1 -1 0 1
attr_59 -1 -1 0 -1
attr_60 1 1 1 1
attr_61 0 1 1 -1
attr_62 -1 0 1 1
attr_63 0 -1 -1 0
attr_64 1 0 0 -1
attr_65 0 1 -1 0
attr_66 1 -1 -1 0
attr_67 0 -1 0 0
attr_68 -1 1 1 0
attr_69 1 0 -1 0
attr_70 1 -1 1 1
attr_71 1 -1 0 0
attr_72 -1 -1 -1 -1
attr_73 1 1 1 -1
attr_74 -1 0 -1 -1
attr_75 1 0 0 1
attr_76 1 1 1 0
attr_77 1 -1 -1 -1
attr_78 -1 1 1 1
attr_79 1 0 1 1
attr_80 1 0 1 -1
attr_81 1 1 0 -1
