,wt1,wt2,wt3,unp1,unp2,unp3
0_B,0.698461,-0.286173,0.41963999999999996,0.70765,0.130098,0.37100900000000003
1_B,-0.09787130000000001,0.40987700000000005,0.136846,-0.131832,0.18798399999999998,-0.0112546
2_B,0.771651,0.454492,0.54385,0.0657582,0.700001,-0.481257
3_B,1.30916,0.6907260000000001,0.291941,0.05473959999999999,0.314348,-0.06484640000000001
0_CI,0.0,0.0,0.0,0.582867,-0.53091,0.493033
1_CI,0.0,0.0,0.0,0.05,0.05,0.05
2_CI,0.0,0.0,0.0,0.15,0.15,0.15
3_CI,0.0,0.0,0.0,0.452193,-0.314758,0.26013600000000003
0_CN,0.0,0.0,0.0,0.15,0.15,0.15
1_CN,0.0,0.0,0.0,0.05,0.05,0.05
2_CN,0.0,0.0,0.0,0.15,0.15,0.15
3_CN,0.0,0.0,0.0,0.05,0.05,0.05
0_EN,0.0,0.0,0.0,0.636998,-0.101492,0.182541
1_EN,0.0,0.0,0.0,0.55795,-0.738761,0.22702199999999997
2_EN,1.18496,1.17527,1.08701,-0.100069,0.320511,0.0383087
3_EN,0.0,0.0,0.0,0.197474,-0.35428699999999996,-0.0957716
0_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_1,0.0,0.0,0.0,-0.392277,0.32879400000000003,-0.134702
0_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_3,0.0,0.0,0.0,-0.343945,-0.0958096,0.678189
0_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_5,0.0,0.0,0.0,0.00870657,0.12154000000000001,-0.370222
1_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_1,0.0,0.0,0.0,0.0686474,0.258275,0.5631
1_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_3,0.0,0.0,0.0,-0.365093,-0.211409,0.24849899999999997
1_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_5,0.0,0.0,0.0,0.289785,0.183574,-0.500388
2_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
2_EWG_1,0.0,0.0,0.0,0.631015,0.785625,0.266598
2_EWG_2,0.0,0.0,0.0,0.052495400000000005,0.41796700000000003,0.0383707
2_EWG_3,0.0,0.0,0.0,0.30229,-0.14588099999999998,-0.593387
2_EWG_4,0.0,0.0,0.0,1.02959,0.193492,0.313606
2_EWG_5,0.0,0.0,0.0,0.519602,-0.173523,0.000654803
3_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_1,0.0,0.0,0.0,0.434533,0.087997,-0.193155
3_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_3,0.0,0.0,0.0,-0.032405,-0.059326699999999996,-0.49794099999999997
3_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_5,0.0,0.0,0.0,0.0426379,-0.086921,0.0593178
0_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_1,0.0,0.0,0.0,-0.6861,0.327214,-0.339251
0_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_3,0.0,0.0,0.0,-0.510109,-0.07846130000000001,0.12239900000000001
0_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_5,0.0,0.0,0.0,-0.0619526,-0.562033,-0.0469798
1_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_1,0.0,0.0,0.0,-0.288313,0.27460100000000004,0.555994
1_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_3,0.0,0.0,0.0,-0.8839959999999999,-0.25914,0.115
1_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_5,0.0,0.0,0.0,-0.0512541,-0.102628,0.415238
2_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
2_HH_1,0.0,0.0,0.0,0.190931,1.15196,0.216493
2_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
2_HH_3,0.0,0.0,0.0,0.429267,-0.00772574,0.551087
2_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
2_HH_5,0.0,0.0,0.0,-0.43823599999999996,-0.577083,0.683351
3_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
3_HH_1,0.0,0.0,0.0,0.201099,-0.0354926,-0.134303
3_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
3_HH_3,0.0,0.0,0.0,-0.0921946,-0.634826,0.15697
3_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
3_HH_5,0.0,0.0,0.0,0.0395541,0.365272,0.0188237
0_IWG,0.0,0.0,0.0,1.0283,1.06752,0.479591
1_IWG,1.22955,1.48015,0.777644,0.05,0.05,0.05
2_IWG,0.0,0.0,0.0,0.15,0.15,0.15
3_IWG,0.0,0.0,0.0,0.05,0.05,0.05
0_PH_0,0.0,0.0,0.0,0.18984600000000001,-0.46181400000000006,0.11487
0_PH_1,0.0,0.0,0.0,0.0167692,0.268592,-0.0109485
0_PH_2,0.0,0.0,0.0,-0.09637380000000001,0.760936,-0.374821
0_PH_3,0.0,0.0,0.0,-0.0906187,0.111881,-0.42809200000000003
0_PH_4,0.0,0.0,0.0,0.666351,0.124803,0.294007
0_PH_5,0.0,0.0,0.0,-0.365987,0.805067,-0.8957649999999999
1_PH_0,0.0,0.0,0.0,0.433014,0.149175,0.492821
1_PH_1,0.0,0.0,0.0,-0.37975,0.638442,-0.5171819999999999
1_PH_2,0.0,0.0,0.0,0.006915999999999999,0.412261,0.05528480000000001
1_PH_3,0.0,0.0,0.0,-0.230591,0.327896,0.314136
1_PH_4,0.0,0.0,0.0,0.284935,0.336459,0.35580300000000004
1_PH_5,0.0,0.0,0.0,-0.0476901,-0.270372,-0.108583
2_PH_0,0.0,0.0,0.0,-0.040726099999999994,0.312027,-0.246788
2_PH_1,0.0,0.0,0.0,0.106603,-0.5808939999999999,0.265162
2_PH_2,0.0,0.0,0.0,0.422804,0.796438,1.0056399999999999
2_PH_3,0.0,0.0,0.0,0.24239499999999997,-0.201742,0.0656316
2_PH_4,0.0,0.0,0.0,-0.0441541,-0.258232,0.319366
2_PH_5,0.0,0.0,0.0,-0.118128,0.682846,0.08763639999999999
