,wt,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,wt16,wt17,wt18,wt19,wt20,wt21,wt22,wt23,wt24,wt25,wt26,wt27,wt28,wt29,wt30,wt31,wt32,wt33,wt34,wt35,wt36,wt37,wt38,wt39,wt40,wt41,wt42,wt43,wt44,wt45,wt46,wt47,wt48,wt49,wt50,wt51,wt52,wt53,wt54,wt55,wt56,wt57,wt58,wt59,wt60,wt61,wt62,wt63,wt64,wt65,wt66,wt67,wt68,wt69,wt70,wt71,wt72,wt73,wt74,wt75,wt76,wt77,wt78,wt79,wt80,wt81,wt82,wt83,wt84,wt85,wt86,wt87,wt88,wt89,wt90,wt91,wt92,wt93,wt94,wt95,wt96,wt97,wt98,wt99,wt100,unp,unp1,unp2,unp3,unp4,unp5,unp6,unp7,unp8,unp9,unp10,unp11,unp12,unp13,unp14,unp15,unp16,unp17,unp18,unp19,unp20,unp21,unp22,unp23,unp24,unp25,unp26,unp27,unp28,unp29,unp30,unp31,unp32,unp33,unp34,unp35,unp36,unp37,unp38,unp39,unp40,unp41,unp42,unp43,unp44,unp45,unp46,unp47,unp48,unp49,unp50,unp51,unp52,unp53,unp54,unp55,unp56,unp57,unp58,unp59,unp60,unp61,unp62,unp63,unp64,unp65,unp66,unp67,unp68,unp69,unp70,unp71,unp72,unp73,unp74,unp75,unp76,unp77,unp78,unp79,unp80,unp81,unp82,unp83,unp84,unp85,unp86,unp87,unp88,unp89,unp90,unp91,unp92,unp93,unp94,unp95,unp96,unp97,unp98,unp99,unp100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_B,-0.176208,0.201836,0.454113,0.868703,0.726298,0.790751,-0.073554,-0.161945,-0.104367,0.535312,0.61222,0.209871,1.06104,-0.287602,0.746022,0.706842,0.230745,0.698461,0.373915,0.35501,1.12334,0.638442,0.739205,0.0654447,0.054817,-0.153681,0.608587,0.130516,0.356891,-0.286173,0.623725,0.0758309,0.51095,0.128746,0.849908,0.364691,0.76656,-0.270099,0.382293,-0.115918,0.409543,1.03866,-0.262706,-0.0446059,0.0188051,0.925485,-0.453794,-0.0668301,0.426631,0.40732,0.89092,0.0418034,0.662811,0.221487,0.505202,0.705167,1.49973,0.273233,1.46286,0.927753,0.726247,0.793165,0.113778,0.277675,0.497159,0.517801,-0.0246544,0.505482,0.90062,1.13931,0.459815,0.755358,-0.0581637,0.392642,0.00606624,0.223419,0.0828315,0.421116,0.41964,0.150264,0.302474,0.381202,0.0678885,0.727445,0.331478,1.14444,0.752504,0.611446,0.509336,0.385492,-0.241103,-0.362157,0.598185,0.673982,0.692932,0.284693,0.908497,1.09244,0.369419,-0.0366587,0.557002,0.15,0.36689,0.389494,0.622672,0.553918,0.569935,-0.411263,0.581809,-0.204504,0.179038,-0.0401861,0.997613,0.512155,0.0299545,-0.148035,-0.113353,0.455387,0.70765,-0.648669,0.915512,0.603741,0.418488,-0.270087,1.04898,0.666816,-0.159398,0.791728,0.248086,-0.164672,0.130098,-0.881025,-0.274945,-0.148958,0.452337,0.114163,0.3187,0.0241227,0.252111,0.653007,-0.303011,0.037333,0.488527,0.163167,-0.170116,-0.334615,0.177423,0.36736,0.466854,0.745453,0.366346,0.0928429,-0.0612297,0.335332,0.388482,-0.215054,0.726886,0.929572,0.519412,-0.213131,0.294896,0.522652,-0.134645,0.249411,0.341991,-0.18827,0.93639,-0.138368,-0.0631025,-0.0419348,-0.0793176,0.285238,0.489503,0.290299,0.172724,-0.355985,0.56049,-0.646138,0.0944242,0.371009,-0.062097,0.03257,0.303559,-0.0607127,0.529562,-0.184815,0.393795,-0.0737652,0.236955,0.348407,-0.113625,-0.289359,0.379919,0.153843,0.119893,0.226023,0.211517,-0.113079,0.160085,0.438553,0.225167,-0.423344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_B,0.342909,0.52401,1.43956,1.07969,0.598132,0.259739,1.00468,1.04546,0.0519949,0.447586,0.16218,0.544838,0.631996,0.761277,0.282134,0.203982,0.562848,-0.0978713,0.500834,1.30322,0.630058,-0.070884,1.09811,0.523807,0.471985,0.476721,0.717952,0.0458047,0.145681,0.409877,0.125111,0.958697,0.667323,0.1464,0.909016,0.278212,0.491435,1.37758,0.300833,0.321092,0.256739,0.569333,0.360434,0.799405,-0.221892,-0.539625,0.870089,0.0518518,0.927757,0.195077,0.873126,0.57507,0.814248,0.3496,-0.77119,0.802134,-0.213756,-0.259052,0.313035,0.739519,0.498847,-0.0116827,0.116485,0.233914,0.332733,-0.0809877,1.06157,0.50827,0.241991,-0.204713,0.369474,-0.425682,0.184979,0.385631,0.850297,0.444797,0.668493,0.56199,0.136846,0.132607,-0.0922074,0.44674,0.157546,0.834615,-0.439762,0.323518,0.352558,0.050755,0.217817,0.41743,-0.442282,0.337982,0.191124,0.746717,0.606691,-0.419341,0.47847,1.11106,0.409006,0.555282,0.12412,0.05,-0.369182,0.240159,0.494013,0.332808,0.112666,0.0445306,-0.111296,0.283442,0.544287,0.0948303,-0.642329,-0.773708,0.0348907,-0.226761,-0.140133,-0.0299912,-0.131832,-0.391697,-0.789313,-0.64721,-0.210584,0.242455,0.243397,0.220059,-0.0445982,-0.0152499,0.734101,0.0821023,0.187984,-0.725153,0.195203,-0.765377,0.0809118,0.065011,0.583658,-0.640299,0.484704,0.138703,0.131944,0.0122525,-0.356798,-0.801726,-0.0358612,0.382441,-0.40562,1.28006,-0.225645,0.604715,-0.238606,-0.0701031,0.432023,-0.415264,-1.09927,0.669037,0.0162818,0.691249,-0.0874012,0.594912,0.868112,-0.271767,0.452695,0.0248291,0.0889416,0.672616,-0.348992,0.014175,0.0113878,-0.182715,0.0272729,0.325089,0.848765,0.28806,-0.459176,0.567093,0.106132,-0.421048,0.507763,-0.0112546,-0.497717,-0.535336,0.543722,-0.623385,0.31835,-0.425527,0.423488,0.817724,-0.676123,0.192656,-0.0533254,0.135606,-0.584544,-0.189155,0.126104,-0.16834,0.00531928,-0.173482,0.14173,0.623817,0.282897,-0.0944164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_B,0.799784,-0.0572295,1.25692,0.460874,0.845301,0.217672,1.05024,0.207971,0.388797,0.200059,0.179383,0.92611,0.634264,0.0463218,0.240431,0.304573,0.732352,0.771651,0.817203,0.725689,-0.0840338,0.626592,0.227504,0.55578,-0.0420213,0.524848,0.085321,0.96819,0.546623,0.454492,0.246151,0.409282,0.330505,0.72801,1.28349,0.294106,1.00932,0.730384,-0.0984423,0.140634,0.885537,0.802222,0.71452,-0.0345664,0.641296,0.133794,0.8393,0.263321,-0.022038,0.190258,0.00854819,1.03923,-0.760084,0.0400668,0.824628,0.336068,-0.129699,-0.153415,0.562149,0.765569,0.218546,-0.0416574,1.41158,0.917126,1.17397,0.625133,-0.166093,0.543167,-0.0234435,1.01962,1.0337,0.207452,0.489699,0.398245,0.505678,-0.0678709,0.145682,0.451425,0.54385,0.635215,0.603853,0.94176,0.198573,0.00115907,0.674971,0.522045,-0.270016,1.35212,0.547456,0.224172,0.656576,0.0174784,0.266152,0.307767,0.819152,0.801294,0.50041,0.667512,-0.216142,0.068729,0.0263919,0.15,-0.155793,-0.506052,-0.129926,0.524659,0.527165,-0.305407,-0.0884402,0.351421,0.226298,0.581034,-0.0451125,0.74516,-0.642748,0.724918,0.13448,-0.345544,0.0657582,-0.136053,-0.172234,-0.373423,0.223453,0.698451,0.725985,-0.0321217,0.404729,0.171742,0.526372,0.279687,0.700001,-0.00493518,0.286327,-0.180833,0.641317,0.785515,0.133399,-0.857843,0.139529,0.386324,-0.0551947,0.147072,0.933076,0.409319,0.367466,-0.591091,0.0635915,0.566464,-0.116434,0.144178,0.466996,0.260299,-0.299405,-0.468524,-0.311888,0.107953,0.274044,0.128365,-0.566076,-0.519032,-0.290357,0.143235,-0.0630022,-0.104856,-0.0133656,-0.205688,-0.691308,-0.500748,0.439874,-0.157914,-0.172359,0.990978,0.641909,0.642365,-0.424508,0.10963,-0.289142,0.380249,0.222356,-0.481257,0.78984,0.0172927,-0.447869,0.172149,0.276542,0.407821,0.514442,0.61209,0.140646,0.575021,0.597544,0.335272,0.068682,-0.45204,0.661093,0.269173,0.301012,0.873763,0.799052,-0.312573,-0.474239,0.36298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_B,0.212037,0.531297,0.325908,0.260135,0.535268,0.39465,-0.140378,0.67916,-0.337201,1.14141,0.93453,0.684309,0.811728,-0.282718,0.369738,0.793636,-0.227407,1.30916,0.370411,0.496921,0.190228,0.474496,-0.123515,0.0927719,0.36437,0.666881,0.662971,0.951758,0.527011,0.690726,0.862355,0.147782,-0.128477,0.0773774,-0.0789933,0.303528,0.845872,0.0999071,-0.0933746,-0.254402,0.602963,0.266043,0.359407,-0.141294,0.329985,0.376298,0.191474,-0.464708,0.39524,-0.129608,0.165811,0.395562,0.286473,-0.205122,0.65416,0.306556,0.833699,-0.306332,0.0922946,0.626916,0.61318,1.03941,-0.283389,0.197743,0.67769,0.472528,0.120221,-0.135671,0.75242,0.171208,0.680447,0.463022,0.86261,-0.293547,1.36458,0.363525,0.54994,0.153889,0.291941,0.524033,0.234163,0.0549824,0.303213,-0.0501428,1.02934,0.837949,-0.062762,-0.275584,0.629373,0.485284,0.612707,0.822283,0.242378,0.447037,0.531339,0.498996,1.31505,0.340373,0.624766,0.932333,0.227987,0.05,0.166473,0.393265,-0.39321,0.0762399,-0.273538,-0.132497,-0.465665,-0.869873,-1.057,-0.352149,0.561707,-0.315013,-0.381437,0.0546976,0.415346,-0.438158,0.0547396,0.116706,0.0668917,-0.023175,0.374597,0.326793,0.142959,0.121129,-0.195039,-0.333506,0.0778291,0.61197,0.314348,0.497699,0.308831,-0.505156,-0.0702985,0.446141,0.0178399,-0.269175,0.37054,-0.501754,0.33586,0.062949,0.119391,0.433578,0.102218,0.407044,-0.190382,-0.528003,0.00363359,0.481559,0.0200424,0.1916,0.376228,0.269051,0.136212,-0.311168,0.171379,-0.162363,0.47328,-0.370251,0.632698,-0.00259898,0.467367,0.00256889,0.173303,-0.162983,0.149882,-1.01071,0.299408,0.20537,-0.0855466,1.03167,0.492377,0.127484,0.200088,0.358518,0.361755,0.655381,-0.0384429,-0.0648464,-0.450691,-0.00608417,0.300525,-0.311084,0.847445,-0.397245,0.168084,0.531187,0.582659,-0.361001,0.494978,0.49682,-0.589693,0.689481,0.109103,0.372951,-0.378562,0.636099,0.11064,0.868355,0.10347,-0.254389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.676013,0.377434,0.490937,0.195973,0.176939,0.0832034,-0.174125,0.146668,-0.21332,0.105725,-0.103515,0.422265,0.135967,0.656393,0.144123,0.572708,0.582867,-0.34198,-0.101334,0.259756,0.46598,0.401099,0.497167,0.119696,-0.0905499,-0.0541997,0.0818757,0.243235,-0.53091,-0.234754,-0.0205087,0.537576,0.21685,0.501133,-0.72464,0.900577,0.0580917,-0.545293,-0.244637,0.150848,-0.0976682,0.286727,1.0008,0.199139,-0.422398,0.176383,-0.57172,0.434972,-0.0722004,-0.235761,-0.269855,0.3969,0.327409,0.213893,1.09175,-0.722654,-0.531316,0.0773651,0.265096,0.0981234,0.438408,0.748129,-0.0452445,-0.076309,0.208264,1.09976,-0.488581,0.331973,-0.021213,0.096926,-0.241601,-0.130556,0.106911,-0.109947,0.443174,1.20383,0.127422,0.493033,0.471806,-0.409868,1.25868,0.184464,0.790284,-0.217468,-0.0384807,-0.143123,0.637073,0.185773,0.0422146,0.48434,0.134611,0.692414,0.420338,-0.162774,0.0988329,0.398033,0.363558,0.238648,0.702567,0.0872202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,-0.0875726,0.126763,0.887971,0.0496523,0.438863,0.187466,-1.01069,0.0971229,-0.0386247,-0.123627,0.485683,-0.947765,0.795647,-0.105641,0.291522,0.205005,0.452193,1.12723,0.171186,-0.504685,0.372291,-0.443621,-0.168254,-0.125597,0.104244,0.229921,-0.710314,-0.191385,-0.314758,0.417052,0.754293,0.00730375,0.527228,-0.660824,0.426094,-0.0816944,-0.682643,0.309421,0.422539,-0.143895,0.129086,0.338049,-0.229476,0.38732,0.241272,-0.192718,-0.566637,0.110867,0.551132,-0.478035,0.609066,-0.603792,0.0970796,-0.703894,0.468859,0.443833,0.395572,0.364175,0.219968,-0.630417,-0.0614685,-0.332953,-0.679244,0.238688,0.315697,0.261969,0.354402,0.76843,-0.0594926,0.185165,-0.131179,0.30934,0.198665,-0.0176431,-0.780756,-0.0714835,0.156125,0.260136,0.567785,0.283381,0.609268,0.925992,-1.15861,-0.939912,-0.145793,-0.112547,0.108388,-0.123838,1.09619,-0.313241,-0.172371,-0.0755032,-0.346869,0.722688,0.299929,0.0381985,-0.362522,0.089336,-0.215288,0.683561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
